overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share
1,1,1,Jaxon Smith-Njigba,WR,SEA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6",133.04680623889763,143.69055073800945,,,0.0,0.0,0.0,0.0,163.0,119.0,1793.0,10.0,48.56095427141123
2,2,1,Amon-Ra St. Brown,WR,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",130.23531839738672,140.65414386917766,,,0.0,0.0,0.0,0.0,172.0,117.0,1401.0,11.0,38.40736121770274
3,3,1,Puka Nacua,WR,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba",128.46389788773527,138.7410097187541,,,0.0,0.0,0.0,0.0,166.0,129.0,1715.0,10.0,27.896412515599394
4,4,1,Ja'Marr Chase,WR,CIN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",123.79021736697092,133.6934347563286,,,0.0,0.0,0.0,0.0,185.0,125.0,1412.0,8.0,34.08570221946999
5,5,1,Chris Olave,WR,NO,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/onmxufsprtvglhejg94o","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/onmxufsprtvglhejg94o",116.75727934740407,126.0978616951964,,,0.0,0.0,0.0,0.0,156.0,100.0,1163.0,9.0,39.32485827548183
6,1,1,Matthew Stafford,QB,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7",142.75,125.62,,,4707.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,1,Trey McBride,TE,ARI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/psasp10nn5pcvkli9kil","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/psasp10nn5pcvkli9kil",128.25701598579042,120.56159502664299,,,0.0,0.0,0.0,0.0,169.0,126.0,1239.0,11.0,25.785079928952047
8,6,1,George Pickens,WR,DAL,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbpyykoguf7rsxezqzvk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbpyykoguf7rsxezqzvk",105.58064142351493,114.02709273739613,,,0.0,0.0,0.0,0.0,137.0,93.0,1429.0,9.0,31.730130194497757
9,7,1,Davante Adams,WR,LA,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tdzluk4xau3arxqk9zsl","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tdzluk4xau3arxqk9zsl",104.30551411781171,112.64995524723666,,,0.0,0.0,0.0,0.0,114.0,60.0,789.0,14.0,28.33526289675082
10,1,1,Jonathan Taylor,RB,IND,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8",101.64285714285714,109.77428571428571,,,0.0,0.0,1585.0,18.0,0.0,0.0,0.0,0.0,0.0
